localidade;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010
Brasil;12872471.91;20971794.9;6308230.18;6587083;20839483.43;23897947.96;12050601.92;20550726.19;16495823.9;25453136.04;31263475.77
Norte;648325.79;953198.62;534221.49;1048465.47;1658848.13;1583071.75;1575080.5;2738461.39;2836114.69;4497205.86;5187804.93
Nordeste;2359837.94;5357527.76;2288980.17;2556138.4;8275871.5;7785299.48;4640428.29;6831498.41;9052819.17;12140723.25;11638955.63
Sudeste;3880823.71;9937530.99;1355761.55;1333956.93;7229969.74;9241274.61;2979978.55;6069100.4;2656056.74;6487806.23;7515562.65
Sul;2908019.3;753688.98;89754.63;158167.12;1103211.79;1037803.05;619182.24;1120623.62;105859.74;621122.33;795754.75
Centro-Oeste;3075465.17;3969848.55;2039512.34;1490355.08;2571582.27;4250499.07;2235932.34;3791042.37;1844973.56;1706278.37;6125397.81
Rondônia;157309.2;153851.55;107811.29;177706.08;425761.75;353195.71;408323.43;871244.32;452288.87;619854;1394667.66
Acre;119368.12;108725.62;64514.35;27117.15;33806.69;104641.94;201835.53;74769.74;66014.49;152494.76;270439.93
Amazonas;105258.92;52549.41;19835.93;40512.84;85329.67;102700.07;73134.38;178268.19;83029.07;752272.49;282143.32
Roraima;24541.17;55699.45;6854.84;21918.17;29733.7;48161.53;31499.57;25077.71;104860.86;83944.29;426528.32
Pará;203272.85;371005.92;258233.3;662764.19;945120.76;729045.74;600502.89;1230876.62;1732378.63;2456118.31;2333702.3
Amapá;2074.45;7526.38;13999.43;13149.61;18571.4;69868.99;38902.15;37425.02;61588.61;105753.41;84591.73
Tocantins;36501.08;203840.29;62972.35;105297.43;120524.16;175457.77;220882.55;320799.79;335954.16;326768.6;395731.67
Maranhão;208113.79;631933.27;174326.61;667153.31;1597444.49;1202186.8;839591.63;854657.26;1219869.45;1773541.89;1136313.69
Piauí;37670.6;251092.63;75049.12;176287.47;227972.47;364118.02;423300.67;429023.47;704627.31;826203.49;970304.48
Ceará;596592.83;556840.72;202874.35;616055.61;1035927.51;2087825.47;1044845.61;1061241.5;1286948.28;2801416.75;1810048.53
Rio Grande do Norte;42310.82;243727.38;345458.73;80267.43;681662.08;168230.37;356375.77;473030.7;546228.77;951957.19;418136.18
Paraíba;119338.27;497899.88;586182.82;135395.7;778046.54;285816.92;340192.12;588169.5;470279.32;869106.46;791560
Pernambuco;223776.58;814620.78;508954.25;232412.83;936158.52;705882.45;300323.29;269937.59;986597.57;1537063.45;1903471.46
Alagoas;107208.62;587860.84;58132.84;68863.52;273942.85;438706.05;225972.55;191450.79;396018.97;286033.01;934524.52
Sergipe;37229.56;440361.82;5972.4;17825.32;44118.28;84760.19;96714.34;75149.38;204097.72;248558.07;73327.2
Bahia;987596.87;1333190.44;332029.05;561877.21;2700598.76;2447773.21;1013112.31;2888838.22;3238151.78;2846842.94;3601269.57
Minas Gerais;1101733.06;4460715.78;526673.59;616654.26;4005127.38;2186481.71;805748.9;2727890.98;550323.31;857494.95;2719190.96
Espírito Santo;299460.4;806413.82;285732.62;267413.58;639232.85;684515.97;272552.03;506157.54;369765.34;1132489.08;690077.74
Rio de Janeiro;70472.51;216358.07;159920.72;125980.87;819581.01;925961.43;227975.07;1390489.43;1288587.9;3321685.68;1633135.2
São Paulo;2409157.74;4454043.32;383434.62;323908.22;1766028.5;5444315.5;1673702.55;1444562.45;447380.19;1176136.52;2473158.75
Paraná;2777179.9;655694.34;74023.41;124400.61;885071.06;931953.89;600798.98;1080777.59;93242.13;587036.22;686501.8
Santa Catarina;68490.35;52990.33;9778.66;18247.62;142720.65;41633.2;7071.8;13792.46;6914.55;11251.54;14005.33
Rio Grande do Sul;62349.05;45004.31;5952.56;15518.89;75420.08;64215.96;11311.46;26053.57;5703.06;22834.57;95247.62
Mato Grosso do Sul;1304107.62;1261756.44;152165.95;112503.07;714608.96;806377.95;122010.6;849816.3;239399.81;290507.72;1356756.09
Mato Grosso;576606.25;280692.74;149628.77;138843.72;218402.17;336882.89;165963.34;572470.77;978950.36;308179.06;1504873.73
Goiás;863361.49;2021348.54;1709938.87;1168034.08;1410495.36;2992025.5;1779786.84;2191179.69;574943.53;1001809.02;3014719.32
Distrito Federal;331389.81;406050.83;27778.75;70974.21;228075.78;115212.73;168171.56;177575.61;51679.86;105782.57;249048.67
