localidade;tipo;;;;
Brasil;país;;;;
Norte;região;;;;
Nordeste;região;;;;
Sudeste;região;;;;
Sul;região;;;;
Centro-Oeste;região;;;;
Rondônia;uf;;;;
Acre;uf;;;;
Amazonas;uf;;;;
Roraima;uf;;;;
Pará;uf;;;;
Amapá;uf;;;;
Tocantins;uf;;;;
Maranhão;uf;;;;
Piauí;uf;;;;
Ceará;uf;;;;
Rio Grande do Norte;uf;;;;
Paraíba;uf;;;;
Pernambuco;uf;;;;
Alagoas;uf;;;;
Sergipe;uf;;;;
Bahia;uf;;;;
Minas Gerais;uf;;;;
Espírito Santo;uf;;;;
Rio de Janeiro;uf;;;;
São Paulo;uf;;;;
Paraná;uf;;;;
Santa Catarina;uf;;;;
Rio Grande do Sul;uf;;;;
Mato Grosso do Sul;uf;;;;
Mato Grosso;uf;;;;
Goiás;uf;;;;
Distrito Federal;uf;;;;
